Titel;Årstal;IMDB-score;Instruktør;Skuespillere
The Hobbit: The Battle of the Five Armies ;2014;7.5;Peter Jackson;Adam Brown & Aidan Turner & James Nesbitt
The Hobbit: The Desolation of Smaug ;2013;7.9;Peter Jackson;Adam Brown & Aidan Turner & James Nesbitt
King Kong ;2005;7.2;Peter Jackson;Thomas Kretschmann & Naomi Watts & Evan Parke
Battleship ;2012;5.9;Peter Berg;Alexander Skarsgård & Liam Neeson & Tadanobu Asano
The Good Dinosaur ;2015;6.8;Peter Sohn;Jack McGraw & A.J. Buckley & Peter Sohn
The Hobbit: An Unexpected Journey ;2012;7.9;Peter Jackson;Adam Brown & Aidan Turner & James Nesbitt
Poseidon ;2006;5.6;Wolfgang Petersen;Mike Vogel & Jimmy Bennett & Andre Braugher
Hancock ;2008;6.4;Peter Berg;Charlize Theron & Will Smith & Eddie Marsan
Troy ;2004;7.2;Wolfgang Petersen;Orlando Bloom & Brad Pitt & Julian Glover
Rise of the Guardians ;2012;7.3;Peter Ramsey;Kamil McFadden & Hugh Jackman & Khamani Griffin
Master and Commander: The Far Side of the World ;2003;7.4;Peter Weir;Lee Ingleby & James D'Arcy & David Threlfall
The Perfect Storm ;2000;6.4;Wolfgang Petersen;Mary Elizabeth Mastrantonio & Karen Allen & Bob Gunton
The Lord of the Rings: The Fellowship of the Ring ;2001;8.8;Peter Jackson;Orlando Bloom & Christopher Lee & Billy Boyd
Town & Country ;2001;4.4;Peter Chelsom;Warren Beatty & Del Zamora & Garry Shandling
End of Days ;1999;5.7;Peter Hyams;Mark Margolis & CCH Pounder & Udo Kier
The Lovely Bones ;2009;6.7;Peter Jackson;AJ Michalka & Michael Imperioli & Tom McCarthy
The Lord of the Rings: The Return of the King ;2003;8.9;Peter Jackson;Billy Boyd & Orlando Bloom & Bernard Hill
The Lord of the Rings: The Two Towers ;2002;8.7;Peter Jackson;Orlando Bloom & Christopher Lee & Billy Boyd
Air Force One ;1997;6.4;Wolfgang Petersen;Gary Oldman & Harrison Ford & Dean Stockwell
The Rundown ;2003;6.7;Peter Berg;Rosario Dawson & Dwayne Johnson & Ewen Bremner
Nutty Professor II: The Klumps ;2000;4.3;Peter Segal;Janet Jackson & Larry Miller & Chris Elliott
The Longest Yard ;2005;6.4;Peter Segal;Steve Reevis & Adam Sandler & Dalip Singh
Get Smart ;2008;6.5;Peter Segal;Dwayne Johnson & Bill Murray & Anne Hathaway
